Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-22;3/2022;0,8655;0,8625;0,2097;0,0588;1,4775;120;0
IPCA;2021-09-22;4/2022;1,1751;1,2047;0,2297;0,4397;1,8509;120;0
IPCA;2021-09-22;1/2023;1,0717;1,0631;0,177;0,6012;1,6591;82;0
IPCA;2021-09-22;2/2023;0,7447;0,7317;0,1611;0,4306;1,2552;79;0
IPCA;2021-09-23;3/2021;2,8553;2,9178;0,1856;2,2149;3,0717;113;1
IPCA;2021-09-23;4/2021;1,5343;1,5074;0,1886;1,1342;2,1045;112;1
IPCA;2021-09-23;1/2022;1,2609;1,2147;0,2282;0,621;1,7398;105;1
IPCA;2021-09-23;2/2022;0,7392;0,7819;0,2772;0,1393;1,3558;105;1
IPCA;2021-09-23;3/2022;0,8705;0,8729;0,2088;0,0588;1,4775;104;1
IPCA;2021-09-23;4/2022;1,1765;1,2047;0,2313;0,4397;1,8509;104;1
IPCA;2021-09-23;1/2023;1,0644;1,0537;0,1613;0,6413;1,6591;75;1
IPCA;2021-09-23;2/2023;0,7456;0,7317;0,1667;0,4306;1,2552;73;1
IPCA;2021-09-23;3/2021;2,8536;2,8974;0,177;2,2149;3,0717;131;0
IPCA;2021-09-23;4/2021;1,5308;1,5074;0,1956;1,1342;2,1045;130;0
IPCA;2021-09-23;1/2022;1,265;1,2098;0,2251;0,621;1,7398;122;0
IPCA;2021-09-23;2/2022;0,7598;0,7919;0,2805;0,1393;1,5035;121;0
IPCA;2021-09-23;3/2022;0,8665;0,8625;0,2047;0,0588;1,4775;120;0
IPCA;2021-09-23;4/2022;1,1751;1,2047;0,2317;0,4397;1,8509;120;0
IPCA;2021-09-23;1/2023;1,0711;1,0631;0,1773;0,6012;1,6591;82;0
IPCA;2021-09-23;2/2023;0,7446;0,7317;0,1612;0,4306;1,2552;79;0
IPCA;2021-09-24;3/2021;2,9164;2,9687;0,2185;2,266;3,2029;78;1
