Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA Serviços;2024-10-11;12/2025;0,5565;0,555;0,1685;0,26;0,88;22;1
IPCA Serviços;2024-10-11;12/2025;0,5555;0,5773;0,3271;-1,8457;1,2052;78;0
IPCA Bens industrializados;2024-10-11;12/2025;0,3646;0,38;0,111;0,15;0,54;19;1
IPCA Bens industrializados;2024-10-11;12/2025;0,392;0,3981;0,1563;0,0004;0,9166;75;0
IPCA Alimentação no domicílio;2024-10-11;12/2025;0,7488;0,71;0,3349;0,2282;1,6363;17;1
IPCA Alimentação no domicílio;2024-10-11;12/2025;0,7365;0,71;0,2464;0,2282;1,6363;74;0
IPCA Administrados;2024-10-11;12/2025;0,271;0,2703;0,0783;0,05;0,4822;21;1
IPCA Administrados;2024-10-11;12/2025;0,2452;0,2632;0,1551;-0,58;0,6376;85;0
IGP-M;2024-10-11;11/2025;0,3706;0,35;0,1104;0,15;0,6;29;1
IGP-M;2024-10-11;11/2025;0,3917;0,35;0,1645;0,15;1,29;65;0
IPCA;2024-10-11;11/2025;0,2763;0,28;0,0929;0,0;0,5;53;1
IPCA;2024-10-11;11/2025;0,2786;0,28;0,0899;0,0;0,5;133;0
Câmbio;2024-10-11;11/2025;5,3434;5,35;0,1794;4,9;5,7;41;1
Câmbio;2024-10-11;11/2025;5,3602;5,39;0,1774;4,7;5,7;109;0
Taxa de desocupação;2024-10-11;11/2025;6,8525;6,85;0,4548;6,0;7,7;16;1
Taxa de desocupação;2024-10-11;11/2025;7,0115;7,0;0,5427;6,0;8,7;55;0
IPCA Livres;2024-10-11;11/2025;0,276;0,27;0,0886;0,13;0,51;23;1
IPCA Livres;2024-10-11;11/2025;0,2712;0,27;0,0773;0,097;0,51;82;0
IPCA Serviços;2024-10-11;11/2025;0,293;0,3;0,0903;0,1;0,5;22;1
IPCA Serviços;2024-10-11;11/2025;0,2983;0,3;0,0953;0,06;0,6;78;0
IPCA Bens industrializados;2024-10-11;11/2025;0,0425;0,06;0,1814;-0,3;0,36;19;1
IPCA Bens industrializados;2024-10-11;11/2025;0,0611;0,06;0,1609;-0,3;0,39;75;0
IPCA Alimentação no domicílio;2024-10-11;11/2025;0,5026;0,47;0,1869;0,2436;1,04;17;1
IPCA Alimentação no domicílio;2024-10-11;11/2025;0,5087;0,505;0,1709;0,02;1,04;74;0
IPCA Administrados;2024-10-11;11/2025;0,3164;0,31;0,1649;-0,11;0,71;21;1
IPCA Administrados;2024-10-11;11/2025;0,2874;0,31;0,222;-0,68;0,71;85;0
IGP-M;2024-10-11;10/2025;0,3939;0,37;0,1323;0,2;0,83;29;1
IGP-M;2024-10-11;10/2025;0,4202;0,38;0,1892;0,0712;1,55;65;0
IPCA;2024-10-11;10/2025;0,3415;0,33;0,0829;0,101;0,52;54;1
