;Unnamed: 0;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais
2482;2482;2022-07-01;MasterCard;Pré-Pago;Básico Internacional;145051;65095;436184;29751192,6;1164;101393,84
2483;2483;2023-07-01;Elo;Pré-Pago;Premium;5101;0;1201;79469,8;0;0,0
2484;2484;2018-07-01;Outras;Crédito;Intermediário;25171;964;11482;2077246,71;253;77530,39
2485;2485;2014-07-01;Elo;Crédito;Outros;816754;245566;2284385;91704207,52;0;0,0
2486;2486;2023-07-01;VISA;Crédito;Outros;1823434;990497;8849119;1656137840,93;128230;125560357,51
2487;2487;2017-01-01;Diners Club;Crédito;Intermediário;199687;186800;3575796;576519681,96;57748;17071066,24
2488;2488;2022-10-01;Elo;Débito;Empresarial;1059146;377031;8673219;1278590451,22;0;0,0
2489;2489;2017-07-01;MasterCard;Débito;Básico Internacional;106625229;38601319;820395630;47978765749,03;152251;33984231,49
2490;2490;2013-04-01;MasterCard;Crédito;Básico Nacional;38562341;15797147;156834556;14103993804,82;101172;2553943,54
2491;2491;2021-10-01;VISA;Crédito;Intermediário;30107975;20194853;400589999;47585743509,61;1026515;236769941,46
2492;2492;2020-07-01;MasterCard;Débito;Intermediário;47619548;30887696;537332329;34643382860,12;12563;2836066,3
2493;2493;2017-10-01;Outras;Crédito;Outros;1191875;364309;2576244;352229573,85;10;1914,18
2494;2494;2023-07-01;MasterCard;Débito;Platinum;1042641;621227;15954193;1156422381,39;4807;2468970,06
2495;2495;2016-10-01;VISA;Crédito;Básico Nacional;25270770;13532871;160071763;13986468762,34;332389;14708272,64
2496;2496;2016-10-01;MasterCard;Crédito;Empresarial;840536;523077;8029878;1901092272,28;232641;106901389,24
2497;2497;2023-10-01;Hipercard;Crédito;Empresarial;11;3;1;0,01;1;0,01
2498;2498;2022-01-01;VISA;Crédito;Corporativo;518586;290494;3966144;1566863620,84;142959;188110958,45
2499;2499;2013-01-01;MasterCard;Crédito;Básico Internacional;13349340;7702643;111577219;11013858910,24;2540006;265472227,67
2500;2500;2017-01-01;VISA;Débito;Básico Nacional;5753890;2956835;60812820;3980882069,71;96;13366,03
2501;2501;2012-04-01;American Express;Crédito;Outros;11161;2220;112534;10756879,22;5909;1329242,39
2502;2502;2022-01-01;MasterCard;Crédito;Empresarial;5049286;2850423;36813245;9356395896,92;438816;290291480,63
2503;2503;2013-04-01;Bandeira própria;Débito;Outros;1447633;350852;1825023;108880953,69;0;0,0
2504;2504;2018-01-01;MasterCard;Débito;Básico Nacional;1024122;557776;12071935;783478581,05;64;19686,59
2505;2505;2024-01-01;MasterCard;Crédito;Básico Nacional;29999340;4818782;81643271;8400490465,74;48509;4011205,95
2506;2506;2021-07-01;MasterCard;Pré-Pago;Outros;16618487;3988589;27314491;1533805851,6;179320;28392753,56
2507;2507;2022-10-01;American Express;Crédito;Platinum;592528;477350;16898468;4746836227,55;437143;435983978,31
2508;2508;2018-04-01;American Express;Crédito;Platinum;509670;410221;3178361;547978842,1;133477;67908238,77
2509;2509;2017-07-01;Elo;Débito;Básico Nacional;8868366;4181108;62174558;3754167677,81;0;0,0
2510;2510;2019-04-01;Elo;Crédito;Platinum;958;258;2165;669958,67;2;132,2
2511;2511;2023-04-01;American Express;Crédito;Platinum;16071;14114;277207;39045883,5;2770;512601,4
2512;2512;2015-01-01;MasterCard;Crédito;Intermediário;10197625;6436909;114441452;14262320031,1;2907686;585285911,91
2513;2513;2023-07-01;VISA;Crédito;Empresarial;2938457;1737799;45414559;13307956278,17;483301;394970924,98
2514;2514;2021-07-01;Elo;Pré-Pago;Básico Nacional;4373487;167013;369536;16065364,0;34;6704,42
2515;2515;2023-01-01;Elo;Crédito;Platinum;158984;83916;2895827;457166237,21;3868;1064457,88
2516;2516;2023-01-01;Hipercard;Crédito;Platinum;1397499;1308215;22846812;4032564397,95;1;0,01
2517;2517;2019-10-01;VISA;Débito;Platinum;1778072;1133751;44094544;3679663082,08;1059;178458,95
2518;2518;2023-07-01;Bandeira própria;Crédito;Outros;13537282;2676157;10095714;1277513569,21;0;0,0
2519;2519;2013-07-01;VISA;Débito;Básico Internacional;134754907;37358711;519207545;30627531879,47;253118;33476632,74
2520;2520;2021-04-01;VISA;Pré-Pago;Básico Nacional;4663619;909618;7669975;1614082374,41;118;44005,82
2521;2521;2019-04-01;VISA;Crédito;Corporativo;583525;298926;5387822;1463602784,7;408777;221484350,67
2522;2522;2020-04-01;Elo;Crédito;Platinum;45831;39918;842512;134616385,19;881;143443,8
2523;2523;2020-04-01;VISA;Débito;Intermediário;2929333;2064998;32694759;2781901009,02;194;38127,24
2524;2524;2022-10-01;MasterCard;Pré-Pago;Outros;19662237;2479793;35540447;1822007723,74;121521;26291332,47
2525;2525;2023-10-01;VISA;Débito;Básico Internacional;157111694;39831533;1042036734;67741652647,93;25710;5393564,01
2526;2526;2021-10-01;VISA;Pré-Pago;Empresarial;3702;2093;36053;4348750,62;0;0,0
2527;2527;2011-04-01;VISA;Crédito;Empresarial;1733310;694610;9377681;3021900373,41;326661;123501943,74
2528;2528;2021-04-01;American Express;Crédito;Empresarial;21623;16207;414275;217816681,25;15287;21428706,68
2529;2529;2018-01-01;VISA;Crédito;Intermediário;5918077;4445230;132971095;15965946654,3;2425253;602638268,72
2530;2530;2017-04-01;VISA;Crédito;Corporativo;437808;240806;4391921;1205249943,45;290717;151538431,35
2531;2531;2022-04-01;VISA;Pré-Pago;Corporativo;918322;92500;3814684;410150647,93;237415;76534443,03
2532;2532;2023-04-01;VISA;Pré-Pago;Básico Internacional;32232158;11664389;142465918;6355933334,71;1422014;257934437,89
2533;2533;2019-10-01;MasterCard;Débito;Básico Internacional;116334931;41336436;1268923821;76718721047,08;168303;42116854,52
2534;2534;2020-10-01;VISA;Crédito;Intermediário;13780543;9471561;224125134;28518512483,86;655143;141816528,46
2535;2535;2018-04-01;MasterCard;Débito;Intermediário;604978;301669;7186352;525114884,36;1086;258815,63
2536;2536;2017-04-01;Elo;Débito;Outros;55453122;20140296;237785065;13757556681,13;0;0,0
2537;2537;2023-07-01;Bandeira própria;Crédito;Básico Nacional;6716048;1463331;7189745;1036996040,83;0;0,0
2538;2538;2016-01-01;MasterCard;Débito;Empresarial;391314;110233;1715368;232413564,51;329;175718,79
2539;2539;2021-01-01;VISA;Crédito;Intermediário;16164816;10708426;230787322;28052183380,79;642253;131835593,56
2540;2540;2014-07-01;Outras;Crédito;Básico Nacional;1087991;331276;87459;59567636,07;0;0,0
2541;2541;2016-01-01;Elo;Crédito;Básico Nacional;5337798;1953370;18769025;1262055510,91;2;2045,25
2542;2542;2015-07-01;MasterCard;Crédito;Intermediário;10386985;6769404;129174980;15497327745,39;2506290;533963778,05
2543;2543;2023-04-01;MasterCard;Pré-Pago;Empresarial;2993156;760891;31255282;1994111530,53;12004;4034443,5
2544;2544;2016-01-01;MasterCard;Débito;Platinum;1053755;497528;9499228;755408182,51;6639;2236822,71
2545;2545;2021-04-01;MasterCard;Débito;Platinum;839380;374170;7642209;719258023,4;496;189849,22
2546;2546;2021-01-01;MasterCard;Débito;Intermediário;55024402;35952526;594022420;37347292655,91;14076;3498375,8
