;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
709;20241;Bandeira própria;Débito;Básico Nacional;17797;5783;566;225399,91;0;0,0;2024-01-01
710;20223;American Express;Crédito;Intermediário;416918;320997;8826903;1567568858,63;79172;40969857,42;2022-07-01
711;20241;Elo;Débito;Básico Nacional;207464482;38589347;883921616;51003364906,67;0;0,0;2024-01-01
712;20242;Hipercard;Crédito;Platinum;461871;426888;11787897;2036867328,67;1;0,01;2024-04-01
713;20231;VISA;Crédito;Platinum;10072610;7608458;303840459;46645083431,01;2444830;947563890,44;2023-01-01
714;20231;VISA;Débito;Básico Nacional;13681962;7923130;213432302;13829925352,27;2786;322586,67;2023-01-01
715;20221;VISA;Débito;Básico Internacional;134294300;50263002;990626365;65187686150,94;17368;3256358,12;2022-01-01
716;20211;MasterCard;Débito;Platinum;820874;360086;7336598;693116468,18;587;239509,23;2021-01-01
717;20224;VISA;Crédito;Básico Nacional;24003605;11617104;226830726;21872870918,68;241557;43040351,3;2022-10-01
718;20222;VISA;Crédito;Premium;3607939;2763098;153822241;31471366534,57;2583960;1597883512,17;2022-04-01
719;20241;VISA;Débito;Premium;958594;542069;17377329;1575918092,31;937;228426,15;2024-01-01
720;20231;VISA;Crédito;Empresarial;2584112;1642007;45780258;12438004935,07;427831;433481679,07;2023-01-01
721;20234;Elo;Crédito;Básico Nacional;4091136;2502735;71910875;8208028706,91;55744;22551335,97;2023-10-01
722;20202;VISA;Pré-Pago;Empresarial;1192;1192;15034;1486561,71;0;0,0;2020-04-01
723;20203;MasterCard;Pré-Pago;Empresarial;297;77;478;28964,42;0;0,0;2020-07-01
724;20234;American Express;Crédito;Intermediário;341311;251109;8001159;1408932782,0;67630;34769698,93;2023-10-01
725;20212;MasterCard;Crédito;Corporativo;138409;75948;2049462;694357622,21;57576;88612229,74;2021-04-01
726;20233;MasterCard;Débito;Básico Nacional;447472;321716;10452221;795712085,48;24;10022,41;2023-07-01
727;20214;Elo;Crédito;Intermediário;5158224;2142067;33618180;3837291425,19;24631;2241318,67;2021-10-01
728;20201;MasterCard;Pré-Pago;Platinum;319687;166062;2357891;129224492,81;0;0,0;2020-01-01
729;20222;MasterCard;Débito;Básico Nacional;482964;355482;10666730;839596759,69;30;16553,42;2022-04-01
730;20211;MasterCard;Crédito;Corporativo;134958;73444;1873255;590486450,27;50495;77419925,72;2021-01-01
731;20214;MasterCard;Pré-Pago;Platinum;3973125;2379874;61434153;3139220758,5;0;0,0;2021-10-01
732;20212;VISA;Débito;Platinum;1808386;1074756;33260464;3262975639,87;122;25557,64;2021-04-01
733;20233;MasterCard;Crédito;Premium;5718749;4239508;330271737;63570965334,92;7202855;3789123994,67;2023-07-01
734;20202;MasterCard;Pré-Pago;Corporativo;17531;4946;234497;15527993,8;1062;835983,03;2020-04-01
735;20213;Bandeira própria;Pré-Pago;Outros;533099;423893;870810734;1421289733,57;0;0,0;2021-07-01
736;20231;MasterCard;Pré-Pago;Outros;19531475;2069836;14791764;775385065,59;86227;16040976,96;2023-01-01
737;20232;MasterCard;Débito;Premium;555573;356697;7298073;530096689,17;1190;554436,3;2023-04-01
738;20214;VISA;Pré-Pago;Outros;20003962;6490821;119765865;5857374482,97;199516;29943421,04;2021-10-01
739;20241;Elo;Crédito;Corporativo;28607;11984;140351;94891322,12;687;664946,29;2024-01-01
740;20242;VISA;Crédito;Básico Internacional;53395453;20147905;313854666;33980540103,2;884107;161623959,65;2024-04-01
741;20214;Elo;Débito;Básico Nacional;185205697;64000866;939557377;58197109052,53;0;0,0;2021-10-01
742;20233;MasterCard;Pré-Pago;Premium;285288;131900;4102258;262103218,22;0;0,0;2023-07-01
743;20212;VISA;Crédito;Corporativo;579321;255850;3064813;1103137332,48;80500;121413041,78;2021-04-01
744;20201;American Express;Crédito;Intermediário;795247;492970;12048230;1753203070,51;202753;78716008,66;2020-01-01
745;20211;Outras;Débito;Outros;3479656;1833511;39151327;3613175238,08;0;0,0;2021-01-01
746;20213;Elo;Pré-Pago;Intermediário;3391516;177783;230653;37721542,08;0;0,0;2021-07-01
747;20223;VISA;Pré-Pago;Outros;25840760;7970941;120908969;5772973162,03;160368;33680987,16;2022-07-01
748;20201;Outras;Crédito;Outros;851599;205616;138567;27599519,47;2;2075,11;2020-01-01
749;20214;MasterCard;Crédito;Corporativo;153089;84731;3067383;1282581009,95;116975;148122336,55;2021-10-01
750;20202;Elo;Crédito;Intermediário;2976507;1650448;23756072;2108405250,99;9053;1053253,6;2020-04-01
751;20214;Outras;Débito;Outros;3436368;1800499;47970105;4534937223,14;0;0,0;2021-10-01
752;20231;VISA;Crédito;Outros;13084197;3593574;57092554;5126227623,87;176827;101928519,72;2023-01-01
753;20212;VISA;Débito;Básico Nacional;10683782;5866816;137761534;9649512102,34;902;151035,4;2021-04-01
754;20233;Outras;Débito;Básico Internacional;176544;135710;539891;41084319,11;0;0,0;2023-07-01
755;20234;VISA;Crédito;Intermediário;31153082;18784982;419035753;50104306412,54;1356371;280205532,48;2023-10-01
756;20234;MasterCard;Débito;Básico Nacional;1597906;805453;14614225;1024941869,61;28;10244,13;2023-10-01
757;20201;Elo;Crédito;Empresarial;442705;193413;4342690;927760759,88;4465;2454350,32;2020-01-01
758;20203;Outras;Crédito;Outros;271520;179051;107088;27072757,49;0;0,0;2020-07-01
759;20223;Bandeira própria;Pré-Pago;Outros;693203;693202;710345997;1576127383,04;0;0,0;2022-07-01
760;20203;MasterCard;Crédito;Básico Nacional;23425477;6534473;60515104;5589625046,28;47019;2838761,81;2020-07-01
761;20223;American Express;Crédito;Premium;555402;440262;15195073;4315044946,04;424674;469845644,99;2022-07-01
762;20234;MasterCard;Pré-Pago;Outros;11171812;791760;8398382;408756499,32;62062;9320829,71;2023-10-01
763;20204;MasterCard;Pré-Pago;Empresarial;92283;43756;796846;58334315,78;0;0,0;2020-10-01
764;20201;VISA;Débito;Platinum;1792967;1129668;38048746;3205279154,03;921;155436,32;2020-01-01
765;20203;VISA;Pré-Pago;Platinum;17030;219;0;0,0;2117;856964,27;2020-07-01
766;20234;MasterCard;Crédito;Básico Nacional;30274807;4915573;81814462;9051248390,13;70357;4857047,19;2023-10-01
767;20221;MasterCard;Débito;Empresarial;1613000;458800;12280183;879150042,03;71;57660,23;2022-01-01
768;20213;MasterCard;Crédito;Platinum;12666285;10334876;381410090;47548514867,53;2653414;633851814,98;2021-07-01
769;20233;VISA;Crédito;Corporativo;606433;352352;6604444;2904882133,27;319253;294514667,33;2023-07-01
770;20241;Bandeira própria;Crédito;Básico Nacional;7152803;1553013;7218891;1081355605,44;0;0,0;2024-01-01
771;20231;American Express;Crédito;Platinum;594169;486850;16909454;4634534699,28;450567;487537232,19;2023-01-01
772;20213;Elo;Crédito;Básico Nacional;4549859;2312872;66348778;6733356471,84;23100;8223302,98;2021-07-01
773;20234;Bandeira própria;Crédito;Intermediário;145799;32506;2380119;671299451,27;0;0,0;2023-10-01
774;20231;VISA;Crédito;Intermediário;30403392;19868831;406466590;48256952505,36;1250859;286210728,14;2023-01-01
775;20242;MasterCard;Crédito;Outros;3006477;1017386;32644615;1829616638,89;8446;1761819,69;2024-04-01
776;20224;Elo;Crédito;Corporativo;23541;10559;80041;114420341,13;409;504499,93;2022-10-01
777;20214;MasterCard;Débito;Premium;351979;142334;2860681;302665085,54;869;567688,31;2021-10-01
778;20222;MasterCard;Pré-Pago;Básico Internacional;8023;229;1726;76802,12;0;0,0;2022-04-01
779;20223;Elo;Débito;Básico Internacional;81682;70192;436263;23190078,05;0;0,0;2022-07-01
780;20223;Elo;Crédito;Básico Nacional;2926890;1915529;61953614;7160065842,35;45099;19257102,96;2022-07-01
781;20224;Elo;Crédito;Outros;5178373;2692543;53878290;7583740384,66;79504;44279235,4;2022-10-01
